2013-10-19 19:03:18 Debug: E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php
2013-10-19 19:04:33 Debug: E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php
2013-10-19 19:04:38 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:04:38 Debug: [0.010069] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:04:38 Debug: [5.021501] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:04:38 Debug: [5.140594] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:22
2013-10-19 19:31:31 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:31:31 Debug: [0.005639] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:31:31 Debug: [5.020592] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:31:31 Debug: [5.130734] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:31:40 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:31:40 Debug: [0.004705] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:31:40 Debug: [5.017486] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:31:40 Debug: [5.116650] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:32:34 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:32:34 Debug: [0.006077] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:32:34 Debug: [0.017811] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:32:34 Debug: [0.106611] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:32:38 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:32:38 Debug: [0.004545] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:32:38 Debug: [0.014913] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:32:38 Debug: [0.097836] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:32:41 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:32:41 Debug: [0.004276] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:32:41 Debug: [0.015599] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:32:41 Debug: [0.098781] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
